"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"følge, etterfølge","<div class=""article""><div class=""k""><b>følge, etterfølge</b></div>follow</div>"
"følge, konsekvens","<div class=""article""><div class=""k""><b>følge, konsekvens</b></div>consequence</div>"
"følgebrev","<div class=""article""><div class=""k""><b>følgebrev</b></div>dispatch-note</div>"
"følgelig","<div class=""article""><div class=""k""><b>følgelig</b></div>accordingly, hence<br/>accordingly</div>"
"følgende","<div class=""article""><div class=""k""><b>følgende</b></div>following</div>"
"følgende, påfølgende","<div class=""article""><div class=""k""><b>følgende, påfølgende</b></div>following</div>"
"føll","<div class=""article""><div class=""k""><b>føll</b></div>colt, foal<br/>colt</div>"
"føll, følle","<div class=""article""><div class=""k""><b>føll, følle</b></div>foal</div>"
"følle","<div class=""article""><div class=""k""><b>følle</b></div>foal</div>"
"før","<div class=""article""><div class=""k""><b>før</b></div>in front of, before</div>"
"før, foran","<div class=""article""><div class=""k""><b>før, foran</b></div>before<br/>in front of</div>"
"førdøyelig","<div class=""article""><div class=""k""><b>førdøyelig</b></div>digestible</div>"
"føre","<div class=""article""><div class=""k""><b>føre</b></div>convey</div>"
"føre, formidle","<div class=""article""><div class=""k""><b>føre, formidle</b></div>convey</div>"
"fører","<div class=""article""><div class=""k""><b>fører</b></div>driver</div>"
"førerkort","<div class=""article""><div class=""k""><b>førerkort</b></div>drivers-licence</div>"
"første","<div class=""article""><div class=""k""><b>første</b></div>first</div>"
"første etasje","<div class=""article""><div class=""k""><b>første etasje</b></div>groundfloor</div>"
"førti","<div class=""article""><div class=""k""><b>førti</b></div>forty</div>"
"førtiende","<div class=""article""><div class=""k""><b>førtiende</b></div>fortieth</div>"
"føtter","<div class=""article""><div class=""k""><b>føtter</b></div>feet</div>"
"føtter, fot","<div class=""article""><div class=""k""><b>føtter, fot</b></div>feet</div>"
"føydal","<div class=""article""><div class=""k""><b>føydal</b></div>feudal</div>"
"føydalisme","<div class=""article""><div class=""k""><b>føydalisme</b></div>feudalism</div>"
"føye","<div class=""article""><div class=""k""><b>føye</b></div>indulge</div>"
"føye, gi etter for","<div class=""article""><div class=""k""><b>føye, gi etter for</b></div>indulge</div>"
"føyelig","<div class=""article""><div class=""k""><b>føyelig</b></div>complaisant, docile<br/>complaisant<br/>docile</div>"
"gaffel","<div class=""article""><div class=""k""><b>gaffel</b></div>fork</div>"
"gaffel, dele seg, veiskille, greip","<div class=""article""><div class=""k""><b>gaffel, dele seg, veiskille, greip</b></div>fork</div>"
"gagn","<div class=""article""><div class=""k""><b>gagn</b></div>gain, benefit, profit<br/>profit</div>"
"gagn, tjene, vinne, vinning, oppnå, økning","<div class=""article""><div class=""k""><b>gagn, tjene, vinne, vinning, oppnå, økning</b></div>gain</div>"
"gal","<div class=""article""><div class=""k""><b>gal</b></div>mad</div>"
"galge","<div class=""article""><div class=""k""><b>galge</b></div>gallows</div>"
"galle","<div class=""article""><div class=""k""><b>galle</b></div>gall</div>"
"galleri","<div class=""article""><div class=""k""><b>galleri</b></div>gallery</div>"
"galleri, stoll","<div class=""article""><div class=""k""><b>galleri, stoll</b></div>gallery</div>"
"gallestein","<div class=""article""><div class=""k""><b>gallestein</b></div>gallstone</div>"
"galning","<div class=""article""><div class=""k""><b>galning</b></div>lunatic</div>"
"galopp","<div class=""article""><div class=""k""><b>galopp</b></div>gallop</div>"
"galoppere","<div class=""article""><div class=""k""><b>galoppere</b></div>gallop</div>"
"galoppere, galopp","<div class=""article""><div class=""k""><b>galoppere, galopp</b></div>gallop</div>"
"galskap","<div class=""article""><div class=""k""><b>galskap</b></div>lunacy<br/>madness, lunacy<br/>madness</div>"
"gamasje","<div class=""article""><div class=""k""><b>gamasje</b></div>gaiter</div>"
"gamasjer","<div class=""article""><div class=""k""><b>gamasjer</b></div>leggings</div>"
"gammel","<div class=""article""><div class=""k""><b>gammel</b></div>ancient<br/>old, ancient<br/>old</div>"
"gangart","<div class=""article""><div class=""k""><b>gangart</b></div>gait</div>"
"gangsti","<div class=""article""><div class=""k""><b>gangsti</b></div>footpath</div>"
"ganske","<div class=""article""><div class=""k""><b>ganske</b></div>quite, altogether</div>"
"gap","<div class=""article""><div class=""k""><b>gap</b></div>jaw</div>"
"gape","<div class=""article""><div class=""k""><b>gape</b></div>gape</div>"
"gape, måpe","<div class=""article""><div class=""k""><b>gape, måpe</b></div>gape</div>"
"gapende sår","<div class=""article""><div class=""k""><b>gapende sår</b></div>gash</div>"
"gapende sår, flenge","<div class=""article""><div class=""k""><b>gapende sår, flenge</b></div>gash</div>"
"garantere","<div class=""article""><div class=""k""><b>garantere</b></div>ensure, guarantee</div>"
"garanti","<div class=""article""><div class=""k""><b>garanti</b></div>guarantee</div>"
"garanti, garantere, kausjonist, kausjon","<div class=""article""><div class=""k""><b>garanti, garantere, kausjonist, kausjon</b></div>guarantee</div>"
"garasje","<div class=""article""><div class=""k""><b>garasje</b></div>garage</div>"
"garde","<div class=""article""><div class=""k""><b>garde</b></div>guard</div>"
"garde, vakt, konduktør, bevoktning, vokte","<div class=""article""><div class=""k""><b>garde, vakt, konduktør, bevoktning, vokte</b></div>guard</div>"
"garderobe","<div class=""article""><div class=""k""><b>garderobe</b></div>wardrobe</div>"
"gardin","<div class=""article""><div class=""k""><b>gardin</b></div>curtain</div>"
"garn","<div class=""article""><div class=""k""><b>garn</b></div>knittingwool, yarn<br/>knittingwool</div>"
"garn- og trådhandel","<div class=""article""><div class=""k""><b>garn- og trådhandel</b></div>haberdashery</div>"
"garnere","<div class=""article""><div class=""k""><b>garnere</b></div>garnish</div>"
"garnering","<div class=""article""><div class=""k""><b>garnering</b></div>garnish</div>"
"garnering, garnere, pynte","<div class=""article""><div class=""k""><b>garnering, garnere, pynte</b></div>garnish</div>"
"garnison","<div class=""article""><div class=""k""><b>garnison</b></div>garrison</div>"
"garnvinde","<div class=""article""><div class=""k""><b>garnvinde</b></div>yarnreel</div>"
"gartner","<div class=""article""><div class=""k""><b>gartner</b></div>gardener</div>"
"gasbind","<div class=""article""><div class=""k""><b>gasbind</b></div>gauze</div>"
"gass","<div class=""article""><div class=""k""><b>gass</b></div>gas</div>"
"gasse","<div class=""article""><div class=""k""><b>gasse</b></div>gander</div>"
"gasspedal","<div class=""article""><div class=""k""><b>gasspedal</b></div>accelerator pedal</div>"
"gate","<div class=""article""><div class=""k""><b>gate</b></div>street</div>"
"gateselger","<div class=""article""><div class=""k""><b>gateselger</b></div>hawker</div>"
"gaupe","<div class=""article""><div class=""k""><b>gaupe</b></div>lynx</div>"
"gave","<div class=""article""><div class=""k""><b>gave</b></div>gift, endowment, present, donation</div>"
"gave, anlegg","<div class=""article""><div class=""k""><b>gave, anlegg</b></div>gift</div>"
"gave, donasjon","<div class=""article""><div class=""k""><b>gave, donasjon</b></div>donation</div>"
"gavl","<div class=""article""><div class=""k""><b>gavl</b></div>gable</div>"
"gavmild","<div class=""article""><div class=""k""><b>gavmild</b></div>freehanded<br/>liberal, freehanded</div>"
"gavmildhet","<div class=""article""><div class=""k""><b>gavmildhet</b></div>generosity</div>"
"gavmildhet, høysinn","<div class=""article""><div class=""k""><b>gavmildhet, høysinn</b></div>generosity</div>"
"gebiss","<div class=""article""><div class=""k""><b>gebiss</b></div>denture</div>"
"gebyr","<div class=""article""><div class=""k""><b>gebyr</b></div>fee</div>"
"gebyr, honorar","<div class=""article""><div class=""k""><b>gebyr, honorar</b></div>fee</div>"
"geistlig","<div class=""article""><div class=""k""><b>geistlig</b></div>ecclesiastic(al)</div>"
"geit","<div class=""article""><div class=""k""><b>geit</b></div>goat</div>"
"geitehams","<div class=""article""><div class=""k""><b>geitehams</b></div>hornet</div>"
"geitekilling","<div class=""article""><div class=""k""><b>geitekilling</b></div>kid</div>"
"gelender","<div class=""article""><div class=""k""><b>gelender</b></div>banister<br/>handrail, banister<br/>handrail</div>"
"gelè","<div class=""article""><div class=""k""><b>gelè</b></div>jelly</div>"
"gemen","<div class=""article""><div class=""k""><b>gemen</b></div>ignoble</div>"
"gemen, ussel","<div class=""article""><div class=""k""><b>gemen, ussel</b></div>ignoble</div>"
"gemyttlig","<div class=""article""><div class=""k""><b>gemyttlig</b></div>jovial</div>"
"general","<div class=""article""><div class=""k""><b>general</b></div>general</div>"
"general, alminnelig, generell","<div class=""article""><div class=""k""><b>general, alminnelig, generell</b></div>general</div>"
"generasjon","<div class=""article""><div class=""k""><b>generasjon</b></div>generation</div>"
"generell","<div class=""article""><div class=""k""><b>generell</b></div>general</div>"
"geni","<div class=""article""><div class=""k""><b>geni</b></div>genius</div>"
"genser","<div class=""article""><div class=""k""><b>genser</b></div>sweater</div>"
"geograf","<div class=""article""><div class=""k""><b>geograf</b></div>geographer</div>"
"geografi","<div class=""article""><div class=""k""><b>geografi</b></div>geography</div>"
"geolog","<div class=""article""><div class=""k""><b>geolog</b></div>geologist</div>"
"geologi","<div class=""article""><div class=""k""><b>geologi</b></div>geology</div>"
"gestikulere","<div class=""article""><div class=""k""><b>gestikulere</b></div>gesture</div>"
"gestikulere, gestus","<div class=""article""><div class=""k""><b>gestikulere, gestus</b></div>gesture</div>"
"gestus","<div class=""article""><div class=""k""><b>gestus</b></div>gesture</div>"
"gevær","<div class=""article""><div class=""k""><b>gevær</b></div>rifle, gun<br/>rifle</div>"
"gevær, børse, kanon","<div class=""article""><div class=""k""><b>gevær, børse, kanon</b></div>gun</div>"
"geværkolbe","<div class=""article""><div class=""k""><b>geværkolbe</b></div>gunstock</div>"
"geværløp","<div class=""article""><div class=""k""><b>geværløp</b></div>gunbarrel</div>"
"gi","<div class=""article""><div class=""k""><b>gi</b></div>give, allow, yield, inflict, hand, bestow</div>"
"gi etter for","<div class=""article""><div class=""k""><b>gi etter for</b></div>indulge</div>"
"gi gave til","<div class=""article""><div class=""k""><b>gi gave til</b></div>endow</div>"
"gi ly","<div class=""article""><div class=""k""><b>gi ly</b></div>harbour</div>"
"gi ly, havn","<div class=""article""><div class=""k""><b>gi ly, havn</b></div>harbour</div>"
"gi strykkarakter","<div class=""article""><div class=""k""><b>gi strykkarakter</b></div>flunk</div>"
"gi videre","<div class=""article""><div class=""k""><b>gi videre</b></div>impart</div>"
"gi, skjenke","<div class=""article""><div class=""k""><b>gi, skjenke</b></div>bestow<br/>give</div>"
"giddeløs","<div class=""article""><div class=""k""><b>giddeløs</b></div>listless</div>"
"gift","<div class=""article""><div class=""k""><b>gift</b></div>poison</div>"
"gigantisk","<div class=""article""><div class=""k""><b>gigantisk</b></div>gigantic</div>"
"gigantisk, kjempemessig","<div class=""article""><div class=""k""><b>gigantisk, kjempemessig</b></div>gigantic</div>"
"gigg","<div class=""article""><div class=""k""><b>gigg</b></div>jig</div>"
"gigg, pilk","<div class=""article""><div class=""k""><b>gigg, pilk</b></div>jig</div>"
"gikt","<div class=""article""><div class=""k""><b>gikt</b></div>gout</div>"
"giktisk","<div class=""article""><div class=""k""><b>giktisk</b></div>gouty</div>"
"gips","<div class=""article""><div class=""k""><b>gips</b></div>gypsum</div>"
"gir","<div class=""article""><div class=""k""><b>gir</b></div>gear</div>"
"girkasse","<div class=""article""><div class=""k""><b>girkasse</b></div>gear-box<br/>gear-case, gear-box<br/>gear-case</div>"
"girlander","<div class=""article""><div class=""k""><b>girlander</b></div>festoon</div>"
"girstang","<div class=""article""><div class=""k""><b>girstang</b></div>gearlever</div>"
"gispe","<div class=""article""><div class=""k""><b>gispe</b></div>gasp</div>"
"gissel","<div class=""article""><div class=""k""><b>gissel</b></div>hostage</div>"
"gitar","<div class=""article""><div class=""k""><b>gitar</b></div>guitar</div>"
"gitter","<div class=""article""><div class=""k""><b>gitter</b></div>grid<br/>lattice, grid, grate<br/>lattice</div>"
"gitter, rive, raspe, skurre, rist","<div class=""article""><div class=""k""><b>gitter, rive, raspe, skurre, rist</b></div>grate</div>"
"giver","<div class=""article""><div class=""k""><b>giver</b></div>donor</div>"
"giver, donor","<div class=""article""><div class=""k""><b>giver, donor</b></div>donor</div>"
"gjeld","<div class=""article""><div class=""k""><b>gjeld</b></div>debt</div>"
"gjelle","<div class=""article""><div class=""k""><b>gjelle</b></div>gill</div>"
"gjemme","<div class=""article""><div class=""k""><b>gjemme</b></div>hide</div>"
"gjemmested","<div class=""article""><div class=""k""><b>gjemmested</b></div>hideout</div>"
"gjemsel","<div class=""article""><div class=""k""><b>gjemsel</b></div>hide and seek</div>"
"gjeng","<div class=""article""><div class=""k""><b>gjeng</b></div>gang</div>"
"gjeng, bande, arbeidslag","<div class=""article""><div class=""k""><b>gjeng, bande, arbeidslag</b></div>gang</div>"
"gjennomfarget","<div class=""article""><div class=""k""><b>gjennomfarget</b></div>ingrained</div>"
"gjennomfarget, inngrodd","<div class=""article""><div class=""k""><b>gjennomfarget, inngrodd</b></div>ingrained</div>"
"gjennomførlig","<div class=""article""><div class=""k""><b>gjennomførlig</b></div>feasible</div>"
"gjennomførlig, mulig","<div class=""article""><div class=""k""><b>gjennomførlig, mulig</b></div>feasible</div>"
"gjennomførlighet","<div class=""article""><div class=""k""><b>gjennomførlighet</b></div>feasibility</div>"
"gjennomførlighet, mulighet","<div class=""article""><div class=""k""><b>gjennomførlighet, mulighet</b></div>feasibility</div>"
"gjennomsiktig","<div class=""article""><div class=""k""><b>gjennomsiktig</b></div>transparant, limpid<br/>transparant</div>"
"gjennomskjære","<div class=""article""><div class=""k""><b>gjennomskjære</b></div>intersect</div>"
"gjennomsnitt","<div class=""article""><div class=""k""><b>gjennomsnitt</b></div>average</div>"
"gjennomtrenge","<div class=""article""><div class=""k""><b>gjennomtrenge</b></div>impregnate</div>"
"gjennomvåt","<div class=""article""><div class=""k""><b>gjennomvåt</b></div>drenched</div>"
"gjenta","<div class=""article""><div class=""k""><b>gjenta</b></div>repeat</div>"
"gjerde","<div class=""article""><div class=""k""><b>gjerde</b></div>fence</div>"
"gjerne","<div class=""article""><div class=""k""><b>gjerne</b></div>gladly</div>"
"gjerne, med glede","<div class=""article""><div class=""k""><b>gjerne, med glede</b></div>gladly</div>"
"gjerning","<div class=""article""><div class=""k""><b>gjerning</b></div>deed</div>"
"gjerningsmann","<div class=""article""><div class=""k""><b>gjerningsmann</b></div>culprit</div>"
"gjerrighet","<div class=""article""><div class=""k""><b>gjerrighet</b></div>avarice</div>"
"gjerrighet, griskhet","<div class=""article""><div class=""k""><b>gjerrighet, griskhet</b></div>avarice</div>"
"gjesp","<div class=""article""><div class=""k""><b>gjesp</b></div>yawn</div>"
"gjesp, gjespe","<div class=""article""><div class=""k""><b>gjesp, gjespe</b></div>yawn</div>"
"gjespe","<div class=""article""><div class=""k""><b>gjespe</b></div>yawn</div>"
"gjest","<div class=""article""><div class=""k""><b>gjest</b></div>guest</div>"
"gjestfri","<div class=""article""><div class=""k""><b>gjestfri</b></div>hospitable</div>"
"gjestfrihet","<div class=""article""><div class=""k""><b>gjestfrihet</b></div>hospitality</div>"
"gjete","<div class=""article""><div class=""k""><b>gjete</b></div>herd</div>"
"gjeter","<div class=""article""><div class=""k""><b>gjeter</b></div>herdsman</div>"
"gjetning","<div class=""article""><div class=""k""><b>gjetning</b></div>guess</div>"
"gjette","<div class=""article""><div class=""k""><b>gjette</b></div>guess</div>"
"gjette, gjetning","<div class=""article""><div class=""k""><b>gjette, gjetning</b></div>guess</div>"
"gjort","<div class=""article""><div class=""k""><b>gjort</b></div>done</div>"
"gjær","<div class=""article""><div class=""k""><b>gjær</b></div>yeast</div>"
"gjære","<div class=""article""><div class=""k""><b>gjære</b></div>ferment</div>"
"gjæring","<div class=""article""><div class=""k""><b>gjæring</b></div>fermentation</div>"
"gjæringsmiddel","<div class=""article""><div class=""k""><b>gjæringsmiddel</b></div>ferment</div>"
"gjæringsmiddel, gjære","<div class=""article""><div class=""k""><b>gjæringsmiddel, gjære</b></div>ferment</div>"
"gjødsle","<div class=""article""><div class=""k""><b>gjødsle</b></div>fertilize</div>"
"gjødsle, befrukte","<div class=""article""><div class=""k""><b>gjødsle, befrukte</b></div>fertilize</div>"
"gjøk","<div class=""article""><div class=""k""><b>gjøk</b></div>cuckoo</div>"
"gjøre","<div class=""article""><div class=""k""><b>gjøre</b></div>make<br/>perform, do, make<br/>perform</div>"
"gjøre arbeidsufør","<div class=""article""><div class=""k""><b>gjøre arbeidsufør</b></div>incapicitate</div>"
"gjøre arveløs","<div class=""article""><div class=""k""><b>gjøre arveløs</b></div>disinherit</div>"
"gjøre bitter","<div class=""article""><div class=""k""><b>gjøre bitter</b></div>embitter</div>"
"gjøre fattig","<div class=""article""><div class=""k""><b>gjøre fattig</b></div>impoverish</div>"
"gjøre flat","<div class=""article""><div class=""k""><b>gjøre flat</b></div>flatten</div>"
"gjøre flau","<div class=""article""><div class=""k""><b>gjøre flau</b></div>embarrass</div>"
"gjøre gal","<div class=""article""><div class=""k""><b>gjøre gal</b></div>madden</div>"
"gjøre gal, rasende","<div class=""article""><div class=""k""><b>gjøre gal, rasende</b></div>madden</div>"
"gjøre hard","<div class=""article""><div class=""k""><b>gjøre hard</b></div>harden</div>"
"gjøre hard, herde","<div class=""article""><div class=""k""><b>gjøre hard, herde</b></div>harden</div>"
"gjøre kjent","<div class=""article""><div class=""k""><b>gjøre kjent</b></div>acquaint</div>"
"gjøre rasende","<div class=""article""><div class=""k""><b>gjøre rasende</b></div>enrage, infuriate, incense<br/>enrage<br/>infuriate</div>"
"gjøre seg kjent med","<div class=""article""><div class=""k""><b>gjøre seg kjent med</b></div>familiarize</div>"
"gjøre skamfull","<div class=""article""><div class=""k""><b>gjøre skamfull</b></div>abash</div>"
"gjøre til slave","<div class=""article""><div class=""k""><b>gjøre til slave</b></div>enslave</div>"
"gjøre ugyldig","<div class=""article""><div class=""k""><b>gjøre ugyldig</b></div>invalidate</div>"
"gjøre urolig","<div class=""article""><div class=""k""><b>gjøre urolig</b></div>flutter</div>"
"gjøre, utføre","<div class=""article""><div class=""k""><b>gjøre, utføre</b></div>do</div>"
"glad","<div class=""article""><div class=""k""><b>glad</b></div>glad<br/>happy, glad, joyful<br/>happy</div>"
"glad, gledelig","<div class=""article""><div class=""k""><b>glad, gledelig</b></div>joyful</div>"
"glans","<div class=""article""><div class=""k""><b>glans</b></div>glory, glamour, gloss, lustre<br/>gloss<br/>lustre</div>"
"glans, fortryllelse","<div class=""article""><div class=""k""><b>glans, fortryllelse</b></div>glamour</div>"
"glasere","<div class=""article""><div class=""k""><b>glasere</b></div>ice, glaze, enamel</div>"
"glasere, glasur","<div class=""article""><div class=""k""><b>glasere, glasur</b></div>glaze</div>"
"glass","<div class=""article""><div class=""k""><b>glass</b></div>glass</div>"
"glassaktig","<div class=""article""><div class=""k""><b>glassaktig</b></div>glazed</div>"
"glassarbeid","<div class=""article""><div class=""k""><b>glassarbeid</b></div>glazing</div>"
"glassmester","<div class=""article""><div class=""k""><b>glassmester</b></div>glazier</div>"
"glasur","<div class=""article""><div class=""k""><b>glasur</b></div>enamel, icing, glaze</div>"
"glasur, emalje, glasere, emaljere","<div class=""article""><div class=""k""><b>glasur, emalje, glasere, emaljere</b></div>enamel</div>"
"glatt","<div class=""article""><div class=""k""><b>glatt</b></div>lank, flush, glib, glossy, icy, even</div>"
"glatt, blank","<div class=""article""><div class=""k""><b>glatt, blank</b></div>glossy</div>"
"glede","<div class=""article""><div class=""k""><b>glede</b></div>delight<br/>gladness, zest, joy, enjoyment, gratify, delight<br/>gladness<br/>joy</div>"
"glede seg ved","<div class=""article""><div class=""k""><b>glede seg ved</b></div>enjoy</div>"
"glede, nytelse","<div class=""article""><div class=""k""><b>glede, nytelse</b></div>enjoyment</div>"
"gledelig","<div class=""article""><div class=""k""><b>gledelig</b></div>joyful</div>"
"glemme","<div class=""article""><div class=""k""><b>glemme</b></div>forget</div>"
"glemsom","<div class=""article""><div class=""k""><b>glemsom</b></div>forgetful</div>"
"gli","<div class=""article""><div class=""k""><b>gli</b></div>glide</div>"
"glidelås","<div class=""article""><div class=""k""><b>glidelås</b></div>zipper</div>"
"glider","<div class=""article""><div class=""k""><b>glider</b></div>glider</div>"
"glidning","<div class=""article""><div class=""k""><b>glidning</b></div>glide</div>"
"glidning, gli","<div class=""article""><div class=""k""><b>glidning, gli</b></div>glide</div>"
"glimt","<div class=""article""><div class=""k""><b>glimt</b></div>flash, gleam, glint, glimpse</div>"
"glimt, glimte, skinne","<div class=""article""><div class=""k""><b>glimt, glimte, skinne</b></div>gleam</div>"
"glimte","<div class=""article""><div class=""k""><b>glimte</b></div>gleam</div>"
"glinse","<div class=""article""><div class=""k""><b>glinse</b></div>glisten</div>"
"glise","<div class=""article""><div class=""k""><b>glise</b></div>grin</div>"
"glitre","<div class=""article""><div class=""k""><b>glitre</b></div>glisten, glint, glitter</div>"
"glitre, blinke, glimt","<div class=""article""><div class=""k""><b>glitre, blinke, glimt</b></div>glint</div>"
"glitre, glinse","<div class=""article""><div class=""k""><b>glitre, glinse</b></div>glisten</div>"
"glitring","<div class=""article""><div class=""k""><b>glitring</b></div>glitter</div>"
"glitring, funkle, glitre","<div class=""article""><div class=""k""><b>glitring, funkle, glitre</b></div>glitter</div>"
"glo olmt på","<div class=""article""><div class=""k""><b>glo olmt på</b></div>glare at</div>"
"globoid","<div class=""article""><div class=""k""><b>globoid</b></div>aspirin</div>"
"globus","<div class=""article""><div class=""k""><b>globus</b></div>globe</div>"
"glorete","<div class=""article""><div class=""k""><b>glorete</b></div>flashy, gaudy</div>"
"glorete, grell","<div class=""article""><div class=""k""><b>glorete, grell</b></div>gaudy</div>"
"glorete, prangende","<div class=""article""><div class=""k""><b>glorete, prangende</b></div>flashy</div>"
"glupsk","<div class=""article""><div class=""k""><b>glupsk</b></div>ferocious</div>"
"glupsk, vill","<div class=""article""><div class=""k""><b>glupsk, vill</b></div>ferocious</div>"
"glødelampe","<div class=""article""><div class=""k""><b>glødelampe</b></div>incandescent lamp</div>"
"glødende","<div class=""article""><div class=""k""><b>glødende</b></div>lurid, fervent</div>"
"gløgg","<div class=""article""><div class=""k""><b>gløgg</b></div>astute, acute</div>"
"gnage","<div class=""article""><div class=""k""><b>gnage</b></div>gnaw, chafe, gall, fret</div>"
"gnage, nage","<div class=""article""><div class=""k""><b>gnage, nage</b></div>gnaw</div>"
"gnagsår","<div class=""article""><div class=""k""><b>gnagsår</b></div>gall</div>"
"gneldre","<div class=""article""><div class=""k""><b>gneldre</b></div>yap</div>"
"gnidning","<div class=""article""><div class=""k""><b>gnidning</b></div>friction</div>"
"gnidning, friksjon","<div class=""article""><div class=""k""><b>gnidning, friksjon</b></div>friction</div>"
"gnist","<div class=""article""><div class=""k""><b>gnist</b></div>spark</div>"
"gnåle om","<div class=""article""><div class=""k""><b>gnåle om</b></div>harp on</div>"
"gnåle om, terpe på","<div class=""article""><div class=""k""><b>gnåle om, terpe på</b></div>harp on</div>"
"god","<div class=""article""><div class=""k""><b>god</b></div>nice<br/>okay, good, nice<br/>okay</div>"
"god handel","<div class=""article""><div class=""k""><b>god handel</b></div>bargain</div>"
"god middag","<div class=""article""><div class=""k""><b>god middag</b></div>good afternoon</div>"
"god morgen","<div class=""article""><div class=""k""><b>god morgen</b></div>good morning</div>"
"god natt","<div class=""article""><div class=""k""><b>god natt</b></div>good night</div>"
"god, snill, behage, flink, gyldig, dyktig, frisk","<div class=""article""><div class=""k""><b>god, snill, behage, flink, gyldig, dyktig, frisk</b></div>good</div>"
"goddag","<div class=""article""><div class=""k""><b>goddag</b></div>good day</div>"
"gode","<div class=""article""><div class=""k""><b>gode</b></div>benefit</div>"
"gode, gagn","<div class=""article""><div class=""k""><b>gode, gagn</b></div>benefit</div>"
"godhet","<div class=""article""><div class=""k""><b>godhet</b></div>goodness</div>"
"godkjenne","<div class=""article""><div class=""k""><b>godkjenne</b></div>approve</div>"
"godkjenning","<div class=""article""><div class=""k""><b>godkjenning</b></div>approval</div>"
"godkjent","<div class=""article""><div class=""k""><b>godkjent</b></div>accepted</div>"
"godmodig","<div class=""article""><div class=""k""><b>godmodig</b></div>good-natured</div>"
"gods","<div class=""article""><div class=""k""><b>gods</b></div>estate</div>"
"gods, gård, eiendom, bo","<div class=""article""><div class=""k""><b>gods, gård, eiendom, bo</b></div>estate</div>"
"godta","<div class=""article""><div class=""k""><b>godta</b></div>receive, take in, take, accept<br/>receive<br/>take in</div>"
"godta, ta imot","<div class=""article""><div class=""k""><b>godta, ta imot</b></div>accept</div>"
"godtagelse","<div class=""article""><div class=""k""><b>godtagelse</b></div>acceptance</div>"
"godtatt","<div class=""article""><div class=""k""><b>godtatt</b></div>accepted</div>"
"godtatt, godkjent","<div class=""article""><div class=""k""><b>godtatt, godkjent</b></div>accepted</div>"
"godtroende","<div class=""article""><div class=""k""><b>godtroende</b></div>credulous, gullible<br/>credulous</div>"
"godtroende, lettroende","<div class=""article""><div class=""k""><b>godtroende, lettroende</b></div>gullible</div>"
"gold","<div class=""article""><div class=""k""><b>gold</b></div>barren</div>"
"golf","<div class=""article""><div class=""k""><b>golf</b></div>golf</div>"
"golfbane","<div class=""article""><div class=""k""><b>golfbane</b></div>golfcourse</div>"
"golfklubb","<div class=""article""><div class=""k""><b>golfklubb</b></div>golfclub</div>"
"golfklubb, golfkølle","<div class=""article""><div class=""k""><b>golfklubb, golfkølle</b></div>golfclub</div>"
"golfkølle","<div class=""article""><div class=""k""><b>golfkølle</b></div>golfclub</div>"
"golfspiller","<div class=""article""><div class=""k""><b>golfspiller</b></div>golfer</div>"
"golv","<div class=""article""><div class=""k""><b>golv</b></div>floor</div>"
"gom","<div class=""article""><div class=""k""><b>gom</b></div>gum</div>"
"gongong","<div class=""article""><div class=""k""><b>gongong</b></div>gong</div>"
"grad","<div class=""article""><div class=""k""><b>grad</b></div>degree, grade</div>"
"grad, eksamen","<div class=""article""><div class=""k""><b>grad, eksamen</b></div>degree</div>"
"gradere","<div class=""article""><div class=""k""><b>gradere</b></div>grade</div>"
"gradvis","<div class=""article""><div class=""k""><b>gradvis</b></div>gradual</div>"
"grafisk","<div class=""article""><div class=""k""><b>grafisk</b></div>graphic</div>"
"grammatikk","<div class=""article""><div class=""k""><b>grammatikk</b></div>grammar</div>"
"grammofon","<div class=""article""><div class=""k""><b>grammofon</b></div>cylinder phonograph, gramophone<br/>cylinder phonograph<br/>gramophone</div>"
"gran","<div class=""article""><div class=""k""><b>gran</b></div>fir</div>"
"gran, furu","<div class=""article""><div class=""k""><b>gran, furu</b></div>fir</div>"
"granat","<div class=""article""><div class=""k""><b>granat</b></div>garnet</div>"
"granskning","<div class=""article""><div class=""k""><b>granskning</b></div>investigation</div>"
"granskning, etterforskning","<div class=""article""><div class=""k""><b>granskning, etterforskning</b></div>investigation</div>"
"grapefrukt","<div class=""article""><div class=""k""><b>grapefrukt</b></div>grapefruit</div>"
"grasiøs","<div class=""article""><div class=""k""><b>grasiøs</b></div>graceful</div>"
"gratis","<div class=""article""><div class=""k""><b>gratis</b></div>gratuitous, free<br/>gratuitous</div>"
"gratulere","<div class=""article""><div class=""k""><b>gratulere</b></div>congratulate</div>"
"grav","<div class=""article""><div class=""k""><b>grav</b></div>grave, tomb<br/>tomb</div>"
"grave","<div class=""article""><div class=""k""><b>grave</b></div>dig<br/>grub, dig</div>"
"grave ut","<div class=""article""><div class=""k""><b>grave ut</b></div>excavate</div>"
"gravemaskin","<div class=""article""><div class=""k""><b>gravemaskin</b></div>caterpillar</div>"
"gravemaskin, larve","<div class=""article""><div class=""k""><b>gravemaskin, larve</b></div>caterpillar</div>"
"gravere","<div class=""article""><div class=""k""><b>gravere</b></div>engrave</div>"
