Norwegian,English
forstand,intellect
forstandig,"discerning, judicious"
"forstandig, klok",judicious
"forstandig, skarpsindig",discerning
forstandsmessig,intellectual
"forstandsmessig, intellektuell",intellectual
forsterke,"amplify, fortify, boost, intensify"
forsterker,amplifier
forsterkning,intensification
forstmann,forester
forstoppe,constipate
forstoppelse,constipation
forstrekke,crick
"forstrekke, kink",crick
forstyrre,"disturb, intrude"
"forstyrre, trenge på",intrude
forstyrrelse,"intrusion, disturbance"
"forstyrrelse, uro",disturbance
forstyrret,distracted
forstå,"figure out, realise, realize, get, grasp"
forståelig,intelligible
forstørre,enlarge
forstørrelse,enlargement
forsvar,defence
forsvare,"defend, justify"
forsvarlig,justifiable
forsvinne,disappear
forsvinning,disappearance
forsøke,"attempt, try"
"forsøke, prøve",attempt
forsømme,fail
fortauskant,"curb, kerb"
"fortauskant, dempe",curb
fortegne,distort
"fortegne, forvrenge, fordreie",distort
fortegnelse,"list, inventory"
"fortegnelse, inventarliste",inventory
fortjene,"deserve, earn"
fortjenstfull,deserving
fortolkning,interpretation
fortreffelig,excellent
"fortreffelig, utmerket",excellent
fortreffelighet,excellence
fortrolig,"intimate, familiar"
"fortrolig, velkjent",familiar
fortrolighet,"familiarity, intimacy"
fortrylle,"enchant, fascinate"
fortryllelse,"enchantment, glamour"
fortryllende,glamourous
fortsette,continue
fortvile,despair
"fortvile, fortvilelse",despair
fortvilelse,despair
fortvilet,"despairing, desperate"
fortynne,dilute
fortære,eat
fortøye,moor
forurense,contaminate
forurensning,contamination
foruroligende,disquieting
forutbestemt,destined
forutfølelse,anticipation
"forutfølelse, foregriping, forventning",anticipation
forutse,"foresee, anticipate"
forutsetning,qualification
"forutsetning, kvalifikasjon",qualification
forutsi,forecast
"forutsi, forutsigelse",forecast
forutsigelse,forecast
forvalte,administer
"forvalte, styre",administer
forvaltning,administration
forvandling,conversion
forvaring,detention
forvente,expect
"forvente, anta",expect
forventning,"anticipation, expectation"
forventningsfull,"expectant, hopeful"
forverre,aggravate
forverres,deteriorate
forvirre,baffle
"forvirre, forpurre",baffle
forvirret,disconcerted
forvirring,distraction
forvise,banish
forvrenge,distort
forvrengning,distortion
forvridning,dislocation
forårsake,induce
foss,"falls, waterfall"
foster,foetus
fostre,foster
fot,"foot, paw, feet"
fotball,"football, soccer"
fotfeste,foothold footing
fotlenke,fetter
fotoapparat,camera
"fotoapparat, kamera",camera
fotograf,photographer
fotpleier,chiropodist
fotspor,footprint
fottrinn,footstep
fottur,hike
fra,"ex, from"
"fra, forhenværende",ex
fradrag,deduction
frakk,coat overcoat
frakoplet,"detached, disconnected"
"frakoplet, usammenhengende",disconnected
fraksjon,faction
fraksjonsdannende,factious
frakt,"haul, freight"
frakte,freight
"frakte, last, frakt",freight
fram,forth
framstille,figure
Frankrike,France
frasi seg,abdicate
frasigelse,abdication
fraskrive seg,disclaim
"fraskrive seg, dementere",disclaim
frastøtende,forbidding
"frastøtende, avskrekkende",forbidding
fravær,absence
"fravær, mangel",absence
fraværende,absent
fred,peace
fredag,Friday
fregne,freckle
frekk,cheeky
frekvens,frequency
"frekvens, hyppighet",frequency
frekventere,frequent
frembringe,generate
fremheve,accentuate
"fremheve, betone",accentuate
fremkalle,"evoke, reveal, develop"
"fremkalle, utvikle",develop
fremkalling,development
fremmed,"alien, foreigner, stranger"
fremmedarbeider,foreignworker
fremmedgjøre,estrange
fremmedhat,xenophobia
fremmelig,forward
fremover,forward
fremragende,eminent
fremst,foremost
fremtid,future
"fremtid, fremtidig",future
fremtidig,future
fremtredende,illustrious
fremtvinge,enforce
fremvisning,exhibition
fri,"devoid, disengaged, free"
"fri, blottet for",devoid
"fri, ledig",disengaged
fridag,holiday
frigjøre,"disengage, emancipate, liberate, extricate, free"
frigjøring,"extrication, liberation"
"frigjøring, befrielse",liberation
frihet,freedom liberty
frikjenne,acquit
friksjon,friction
frimerke,postage stamp
frimurer,freemason
frise,frieze
"frise, vadmel",frieze
frisinnet,liberal
frisk,"well, fresh"
friske på,freshen
friskhet,freshness
frisør,"hairdresser, barber"
"frisør, barbermester",barber
frita,"excuse, exempt"
fritagelse,exemption
fritid,leisure
fritte,ferret
frittliggende,detached
"frittliggende, frakoplet",detached
frodig,"exuberant, lush"
"frodig, yppig",lush
frodighet,exuberance
frokost,breakfast
from,devout godly
fromhet,devotion
front,front
"front, forside, fasade",front
frontlys,headlight
frosk,frog
froskemann,frogman
frosset,frozen
"frosset, tilfrosset, sperret",frozen
frost,frost
"frost, rim",frost
frostskadet,frostbitten
frue,"lady, madam"
"frue, dame",lady
frukt,fruit
fruktbar,"fecund, fertile, fruitful"
fruktbarhet,fertility
fruktterte,flan
frustrere,frustrate
fryd,glee
frykt,dread
frykte,fear
"frykte, være redd for",fear
fryktelig,"atrocious, dreadful, fearful, horrible"
"fryktelig, engstelig",fearful
fryktinngytende,formidable
"fryktinngytende, imponerende",formidable
fryktløs,"fearless, intrepid"
"fryktløs, uforferdet",intrepid
frynse,fringe
"frynse, pannelugg, kante, utkant",fringe
frynsegoder,fringe benefits
frynsete,frayed
fryse,freeze
"fryse, stivne",freeze
fryser,freezer
fråde,froth
fråtse,gorge
"fråtse, fjellkløft, strupe, svelge",gorge
fråtser,glutton
"fråtser, jerv",glutton
frøken,madam
"frøken, frue",madam
fugl,bird
fuktig,"clammy, humid, damp"
"fuktig, klam",damp
fuktighet,humidity
fuktighetskrem,lotion
full,"drunk, full"
fullbrakt,finished
fullbyrde,execute
fullføre,accomplish
"fullføre, greie",accomplish
fullstendig,"full, entirely"
"fullstendig, full, utførlig, hel",full
"fullstendig, helt",entirely
fullt ut,fully
fulltreffer,hit
fundament,foundation
fundamental,fundamental
fungere,function
funkle,glitter
funksjon,function
"funksjon, fungere, oppgave",function
funksjonell,functional
funksjons-,functional
"funksjons-, funksjonell",functional
funn,"finding, find"
"funn, kjennelse",finding
fure,"furrow, groove"
"fure, lage furer i",furrow
"fure, spor",groove
furie,fury
furu,"fir, pine, tree"
fusjon,fusion
"fusjon, sammensmelting",fusion
fylde,fullness
fylke,county
fyll,"filling, fill"
fylle,fill
fyllepenn,fountain pen
fyr,"chap, beacon"
"fyr, kar, sprekk",chap
"fyr, sjømerke",beacon
fyre av,fire
fyrig,fiery
fyrstikk,match
få,"few, get, have"
få skrubbsår,graze
få slagside,heel over
få vite,hear
"få vite, høre",hear
får,sheep
fôr,"fodder, lining, forage,"
fôre,"feed, line"
føderal,federal
føderasjon,federation
"føderasjon, forbund",federation
fødsel,birth
føle,feel
føle seg fram,grope
følehorn,"feeler, antenna"
"følehorn, føler",feeler
følelse,"feeling, emotion"
følelsesløs,insensible
følelsesløshet,insensibility
følelsesmessig,emotional
føler,feeler
følge,"ensue, follow, consequence"
"følge, etterfølge",follow
"følge, konsekvens",consequence
følgebrev,dispatch-note
følgelig,"accordingly, hence"
følgende,following
"følgende, påfølgende",following
føll,"colt, foal"
"føll, følle",foal
følle,foal
før,"in, front of, before"
"før, foran","before, in front of"
førdøyelig,digestible
føre,convey
"føre, formidle",convey
fører,driver
førerkort,drivers-licence
første,first
første etasje,groundfloor
førti,forty
førtiende,fortieth
føtter,feet
"føtter, fot",feet
føydal,feudal
føydalisme,feudalism
føye,indulge
"føye, gi etter for",indulge
føyelig,"complaisant, docile"
gaffel,fork
"gaffel, dele seg, veiskille, greip",fork
gagn,"gain, benefit, profit"
"gagn, tjene, vinne, vinning, oppnå, økning",gain
gal,mad
galge,gallows
galle,gall
galleri,gallery
"galleri, stoll",gallery
gallestein,gallstone
galning,lunatic
galopp,gallop
galoppere,gallop
"galoppere, galopp",gallop
galskap,lunacy madness
gamasje,gaiter
gamasjer,leggings
gammel,ancient old
gangart,gait
gangsti,footpath
ganske,"quite, altogether"
gap,jaw
gape,gape
"gape, måpe",gape
gapende sår,gash
"gapende sår, flenge",gash
garantere,"ensure, guarantee"
garanti,guarantee
"garanti, garantere, kausjonist, kausjon",guarantee
garasje,garage
garde,guard
"garde, vakt, konduktør, bevoktning, vokte",guard
garderobe,wardrobe
gardin,curtain
garn,"knittingwool, yarn"
garn- og trådhandel,haberdashery
garnere,garnish
garnering,garnish
"garnering, garnere, pynte",garnish
garnison,garrison
garnvinde,yarnreel
gartner,gardener
gasbind,gauze
gass,gas
gasse,gander
gasspedal,accelerator pedal
gate,street
gateselger,hawker
gaupe,lynx
gave,"gift, endowment, present, donation"
"gave, anlegg",gift
"gave, donasjon",donation
gavl,gable
gavmild,"freehanded, liberal"
gavmildhet,generosity
"gavmildhet, høysinn",generosity
gebiss,denture
gebyr,fee
"gebyr, honorar",fee
geistlig,ecclesiastic(al)
geit,goat
geitehams,hornet
geitekilling,kid
gelender,banister handrail
gelè,jelly
gemen,ignoble
"gemen, ussel",ignoble
gemyttlig,jovial
general,general
"general, alminnelig, generell",general
generasjon,generation
generell,general
geni,genius
genser,sweater
geograf,geographer
geografi,geography
geolog,geologist
geologi,geology
gestikulere,gesture
"gestikulere, gestus",gesture
gestus,gesture
gevær,"rifle, gun"
"gevær, børse, kanon",gun
geværkolbe,gunstock
geværløp,gunbarrel
gi,"give, allow, yield, inflict, hand, bestow"
gi etter for,indulge
gi gave til,endow
gi ly,harbour
"gi ly, havn",harbour
gi strykkarakter,flunk
gi videre,impart
"gi, skjenke",bestow give
giddeløs,listless
gift,poison
gigantisk,gigantic
"gigantisk, kjempemessig",gigantic
gigg,jig
"gigg, pilk",jig
gikt,gout
giktisk,gouty
gips,gypsum
gir,gear
girkasse,gear-box gear-case
girlander,festoon
girstang,gearlever
gispe,gasp
gissel,hostage
gitar,guitar
gitter,"grid, lattice"
"gitter, rive, raspe, skurre, rist",grate
giver,donor
"giver, donor",donor
gjeld,debt
gjelle,gill
gjemme,hide
gjemmested,hideout
gjemsel,"hide and seek"
gjeng,gang
"gjeng, bande, arbeidslag",gang
gjennomfarget,ingrained
"gjennomfarget, inngrodd",ingrained
gjennomførlig,feasible
"gjennomførlig, mulig",feasible
gjennomførlighet,feasibility
"gjennomførlighet, mulighet",feasibility
gjennomsiktig,"transparant, limpid"
gjennomskjære,intersect
gjennomsnitt,average
gjennomtrenge,impregnate
gjennomvåt,drenched
gjenta,repeat
gjerde,fence
gjerne,gladly
"gjerne, med glede",gladly
gjerning,deed
gjerningsmann,culprit
gjerrighet,avarice
"gjerrighet, griskhet",avarice
gjesp,yawn
"gjesp, gjespe",yawn
gjespe,yawn
gjest,guest
gjestfri,hospitable
gjestfrihet,hospitality
gjete,herd
gjeter,herdsman
gjetning,guess
gjette,guess
"gjette, gjetning",guess
gjort,done
gjær,yeast
gjære,ferment
gjæring,fermentation
gjæringsmiddel,ferment
"gjæringsmiddel, gjære",ferment
gjødsle,fertilize
"gjødsle, befrukte",fertilize
gjøk,cuckoo
gjøre,"make, perform, do"
gjøre arbeidsufør,incapicitate
gjøre arveløs,disinherit
gjøre bitter,embitter
gjøre fattig,impoverish
gjøre flat,flatten
gjøre flau,embarrass
gjøre gal,madden
"gjøre gal, rasende",madden
gjøre hard,harden
"gjøre hard, herde",harden
gjøre kjent,acquaint
gjøre rasende,"enrage, infuriate, incense"
gjøre seg kjent med,familiarize
gjøre skamfull,abash
gjøre til slave,enslave
gjøre ugyldig,invalidate
gjøre urolig,flutter
"gjøre, utføre",do
glad,"glad, happy, joyful"
"glad, gledelig",joyful
glans,"glory, glamour, gloss, lustre"
"glans, fortryllelse",glamour
glasere,"ice, glaze, enamel"
"glasere, glasur",glaze
glass,glass
glassaktig,glazed
glassarbeid,glazing
glassmester,glazier
glasur,"enamel, icing, glaze"
"glasur, emalje, glasere, emaljere",enamel
glatt,"lank, flush, glib, glossy, icy, even"
"glatt, blank",glossy
glede,"delight gladness, zest, joy, enjoyment, gratify"
glede seg ved,enjoy
"glede, nytelse",enjoyment
gledelig,joyful
glemme,forget
glemsom,forgetful
gli,glide
glidelås,zipper
glider,glider
glidning,glide
"glidning, gli",glide
glimt,"flash, gleam, glint, glimpse"
"glimt, glimte, skinne",gleam
glimte,gleam
glinse,glisten
glise,grin
glitre,"glisten, glint, glitter"
"glitre, blinke, glimt",glint
"glitre, glinse",glisten
glitring,glitter
"glitring, funkle, glitre",glitter
glo olmt på,glare at
globoid,aspirin
globus,globe
glorete,"flashy, gaudy"
"glorete, grell",gaudy
"glorete, prangende",flashy
glupsk,ferocious
"glupsk, vill",ferocious
glødelampe,incandescent lamp
glødende,"lurid, fervent"
gløgg,"astute, acute"
gnage,"gnaw, chafe, gall, fret"
"gnage, nage",gnaw
gnagsår,gall
gneldre,yap
gnidning,friction
"gnidning, friksjon",friction
gnist,spark
gnåle om,harp on
"gnåle om, terpe på",harp on
god,"nice okay, good"
god handel,bargain
god middag,good afternoon
god morgen,good morning
god natt,good night
"god, snill, behage, flink, gyldig, dyktig, frisk",good
goddag,good day
gode,benefit
"gode, gagn",benefit
godhet,goodness
godkjenne,approve
godkjenning,approval
godkjent,accepted
godmodig,good-natured
gods,estate
"gods, gård, eiendom, bo",estate
godta,"receive, take, in, accept"
"godta, ta imot",accept
godtagelse,acceptance
godtatt,accepted
"godtatt, godkjent",accepted
godtroende,"credulous, gullible"
"godtroende, lettroende",gullible
gold,barren
golf,golf
golfbane,golfcourse
golfklubb,golfclub
"golfklubb, golfkølle",golfclub
golfkølle,golfclub
golfspiller,golfer
golv,floor
gom,gum
gongong,gong
grad,"degree, grade"
"grad, eksamen",degree
gradere,grade
gradvis,gradual
grafisk,graphic
grammatikk,grammar
grammofon,"cylinder phonograph, gramophone"
gran,fir
"gran, furu",fir
granat,garnet
granskning,investigation
"granskning, etterforskning",investigation
grapefrukt,grapefruit
grasiøs,graceful
gratis,"gratuitous, free"
gratulere,congratulate
grav,"grave, tomb"
grave,"dig, grub"
grave ut,excavate
gravemaskin,caterpillar
"gravemaskin, larve",caterpillar
gravere,engrave
gravskrift,epitaph
gravstein,headstone
greie,"cope, gadget, accomplish"
greie ut,disentangle
"greie ut, vikle ut",disentangle
greip,fork
grell,"gaudy, glaring"
gren,branch
"gren, avdeling",branch
grense,"boundary, frontier limit, frontier"
grensesnitt,interface
grep,"grasp, hold, grip"
gress,grass
gressenke,grasswidow
gressenkemann,grasswidower
gresshoppe,grasshopper
gressklipper,lawnmower
gressløk,chive
gressplen,lawn
gretten,"fretful, grouchy, grumpy, querulous"
"gretten, sur",grumpy
greve,"count, earl"
"greve, jarl",earl
grevinne,countess
grille,grill
"grille, rist",grill
grillfest,barbecue
grillrist,gridiron
grind,gate
grine,cry
"grine, gråte",cry
gripe,"catch, grab, grapple, grasp, capture, grip"
gripe inn,intervene
gripe inn i,interpose
"gripe, forstå, grep",grasp
"gripe, grep, fengsle",grip
"gripe, snappe",grab
gris,"hog, pig"
"gris, svin",hog
griskhet,avarice
gro,heal up
grogg,grog
gross,gross
grotte,"cave, cavern, grotto, den"
"grotte, hule",den
"grotte, stor hule",cavern
grov,"coarse, gruff, gross"
"grov, barsk",gruff
grufull,ghastly
"grufull, uhyggelig, likblek",ghastly
grundig,exhaustive
"grundig, uttømmende",exhaustive
grunneier,landholder
grunnlegge,found
grunnleggelse,foundation
grunnleggende,formative
grunnmur,foundation
"grunnmur, legat, grunnleggelse, fundament",foundation
grunnskole,elementary school
grunnstoff,element
"grunnstoff, element",element
grunnstøte,ground
gruoppvekkende,horrifying
gruppe,"faction, group"
"gruppe, fraksjon",faction
"gruppe, gruppere",group
gruppere,group
grus,"gravel, grit"
"grus, strø, sandkorn, mot",grit
gruslagt,gravelled
grusom,cruel
grusomhet,atrocity cruelty
grynt,grunt
grynte,grunt
"grynte, grynt",grunt
gryte,"pot, jug"
"gryte, potte",pot
gryteklut,kettleholder
grå,gray grey
grådig,"gluttonous, greedy"
grådighet,greed
gråhåret,hoary
grålig,grizzly
"grålig, gråsprengt",grizzly
gråsprengt,grizzly
gråte,cry
grøft,ditch
grønn,green
"grønn, grøntareale",green
grønsak,vegetable
grøntareale,green
Gud,God
gudbarn,godchild
guddommelig,divine godlike
guddommelighet,divinity
"guddommelighet, teologi",divinity
gudfar,godfather
gudinne,goddess
gul,yellow
gulaktig,yellowish
gull,gold
gullsmed,jeweller
gulrot,carrot
gulsott,jaundice
gummi,"rubber, gum"
"gummi, tannkjøtt, gummiere, gom",gum
gummiere,gum
gunstig,favourable
gurgle,"gurgle, gargle"
"gurgle, gurglevann",gargle
gurglevann,gargle
gusten,livid
"gusten, bleik",livid
gutt,"boy, lad"
guvernante,governess
guvernør,governor
gylden,golden
gyldig,"valid, good"
gymnast,gymnast
gymnastikk,gymastics gymnastics
gymnastikksal,gymnasium
gynekolog,gynaecologist
gynekologisk,gynaecological
gyselig,gruesome
gå,go
gå i hi,hibernate
gå i land,disembark
gå inn,enter
gå ombord,embark
gå sammen i forbund,federate
gård,"farm, ranch, property, estate"
"gård, kvalitet, eiendom",property
gårdbruker,farmer
"gårdbruker, bonde",farmer
gårdsbruk,holding
gårdsplass,"farmyard, yard"
"gårdsplass, yard",yard
gås,goose
gåsehud,gooseflesh
gåte,enigma
gåtefull,enigmatic
ha,have
ha god lyst på,hanker
ha i pleie,foster
ha til hensikt,intend
"ha, få",have
hage,garden
hagearbeid,gardening
hagebruk,"gardening, horticulture"
"hagebruk, hagearbeid",gardening
hagl,hail
hagle,"shotgun, hail"
hagtorn,hawthorn
hai,shark
haik,lift
haike,hitchhike
hake,"chin, hook"
"hake, krok, knagg, hekte",hook
hakk,indentation
hakke,"hoe, pick, hack"
"hakke, pirke, velge, plukke i",pick
hakkemat,hash
"hakkemat, skjære i stykker, hasj",hash
hale,"haul, tail, lug"
hale og dra,heave
"hale, slepe",lug
hall,hall
"hall, herregård, entrè, sal",hall
hals,neck
halsbrann,heartburn
halt,lame
halte,limp
halting,limp
"halting, halte, slapp",limp
halv,half
"halv, halvdel",half
halvdel,half
halvkule,hemisphere
halvmåne,crescent
"halvmåne, halvmåneformet",crescent
halvmåneformet,crescent
halvmørke,gloom
halvvoksen,adolescent
ham,him
hammer,hammer
hamp,hemp
hamre,hammer
"hamre, slegge, hammer",hammer
hamstre,hoard
"hamstre, forråd",hoard
hamstring,hoarding
han,"he, him"
han selv,himself
"han, ham",him
handel,deal
handikap,handicap
hane,cock
hank,handle
hans,his
hanske,"glove, mitten"
hard,"callous, harsh, hard"
"hard, tung, vanskelig",hard
"hard, ufølsom",callous
hardfør,hardy
hardhet,hardness
hare,hare
hareskår,harelip
harme,indignation
harmløs,"harmless, inoffensive"
"harmløs, uskadelig",harmless
harmonisk,harmonious
harpe,harp
harv,harrow
harve,harrow
"harve, harv",harrow
hasj,hash
hasselnøtt,hazelnut
hast,"hurry, urgency"
haste,hurry
hastverk,"haste, hurry"
"hastverk, hast, haste",hurry
hat,"hatred, hate, animosity"
"hat, fiendskap",animosity
hate,hate
"hate, hat",hate
hatt,hat
hattemaker,hatter
haug,"heap, knoll"
"haug, knaus",knoll
hauk,hawk
hav,sea
havbruk,fishfarm
"havbruk, fiskeoppdretter",fishfarm
havbukt,gulf
have,garden
"have, hage",garden
havn,"port, harbour"
havne,land
havnearbeider,docker
havre,oats
hedensk,heathen
"hedensk, hedning",heathen
heder,honour
hederlig,honourable
"hederlig, ærede",honourable
heders-,honorary
"heders-, æres-",honorary
hedning,"heathen, hedonist"
hedonisme,hedonism
hedre,grace
hefte,encumber
"hefte, hindre",encumber
heftelse,encumbrance
"heftelse, hindring",encumbrance
heftig,"fiery, impetuous"
"heftig, fyrig, flammende",fiery
"heftig, voldsom",impetuous
heftighet,heat
hegre,heron
heis,"elevator, lift"
"heis, haik, stjele, lette, løft",lift
heise,hoist
hekk,"hedge, hedgerow"
hekle,heckle
"hekle, avbryte",heckle
heks,hag
"heks, hurpe",hag
hekte,"clasp, hook"
"hekte, omfavne",clasp
hektet,hooked
"hektet, kroket, krum",hooked
hektisk,hectic
hel,"entire, full"
helbrede,heal
helbredelig,curable
heldig,fortunate lucky
heldigvis,"fortunately, luckily"
hele,fence
heler,"fence, handler"
"heler, gjerde, hele, fekte",fence
helhet,integrity
"helhet, integritet, rettskaffenhet",integrity
helhetlig,integral
hell,luck
"hell, lykke",luck
helle,"flagstone, incline, lean"
"helle, lene, tynn, mager",lean
hellefisk,halibut
"hellefisk, kveite",halibut
hellig,holy
helligdag,holiday
hellige,hallow
"hellige, innvie",hallow
hellighet,holiness
helling,inclination
"helling, tilbøyelighet",inclination
helse,health
helsekost,healthfood
helt,"hero, quite, entirely"
heltall,integer
heltemot,heroism
helter,heroes
heltinne,heroine
helvete,hell
helvetes,infernal
"helvetes, pokkers, fordømt",infernal
hemme,"hamper, inhibit"
"hemme, hindre",inhibit
"hemme, stor kurv, hindre",hamper
hemmelig,furtive
"hemmelig, hemmelighetsfull",furtive
hemmelighetsfull,furtive
hemmende,inhibitive
hemmorider,haemorrhoids
hemning,inhibition
hende,happen
"hende, skje",happen
hendelse,"happening, incident"
hendig,dexterous
"hendig, fingernem",dexterous
henge,hang
henge ned,droop
hengekøye,hammock
hengelås,padlock
henger,hanger
hengiven,devoted
hengivenhet,"affection, devotion"
"hengivenhet, fromhet",devotion
hengning,hanging
hengsel,hinge
henne,her
henne selv,herself
hennes,"hers, her"
"hennes, henne",her
henrette,execute
henrette med elektrisitet,electrocute
henrettelse,execution
henrykke,enrapture
hensikt,"intention, idea"
"hensikt, formål",intention
hensiktsmessig,expedient
"hensiktsmessig, utvei",expedient
hensiktsmessighet,expediency
hensyn,consideration
"hensyn, overveielse",consideration
hensynsfull,considerate
hensynsløs,inconsiderate
hente,"get, fetch"
"hente, få, bli, forstå",get
her,here
"her, hit",here
herberge,hostel
herde,harden
herje,devastate
herlig,delightful
hermelin,ermine
"hermelin, røyskatt",ermine
hermetikkåpner,tin-opener
heroisk,heroic
herredømme,"domination, dominion"
herregård,hall
hertug,duke
hertugdømme,duchy
hertuginne,duchess
herved,here by
hes,"hoarse, husky"
heslig,"hideous, ugly, nasty"
"heslig, skrekkelig",hideous
hest,horse
het,hot
"het, sterkt krydret, varm",hot
hete,heat
hette,hood
hevde,assert
heve,elevate
hevelse,lump
hevne,avenge
hi,lair
"hi, hule",lair
hikke,hiccup
hilse,greet
hilsen,greeting
himmel,heaven sky
himmelsk,heavenly
hind,hind
hinder,"hurdle, impediment"
hindre,"impede, inhibit, encumber, hinder, hamper"
hindring,"hindrance, hitch, encumbrance"
"hindring, stikk, vanskelighet",hitch
hinne,film
"hinne, filme, film",film
hinsides,beyond
hisse opp,incense
"hisse opp, røkelse, gjøre rasende",incense
hissig,hasty
historie,history
historiker,historian
historisk,historic
hit,here
hive,fling
"hive, slenge, kast",fling
hjelm,helmet
hjelp,help
"hjelp, hjelpe",help
hjelpe,"abet, aid, assist, help"
hjelpeløs,helpless
hjelpemidler,facilities
hjelpsom,helpful
hjem,home
"hjem, hus",home
hjemlengsel,homesickness
hjemløs,homeless
hjemover,homewards
hjemsøke,infest
"hjemsøke, plage",infest
hjemsøkt,haunted
hjerne,brain
hjernebetennelse,encephalitis
hjernedød,braindead
hjernerystelse,concussion
hjerte,heart
hjerteanfall,heartattack
hjertelig,"heartily, hearty"
"hjertelig, kraftig",hearty
hjertelighet,heartiness
hjerteløs,heartless
hjerter,hearts
hjerteskjærende,heartrending
hjort,"deer, hart"
hjortetakk,hartshorn
hjul,wheel
hjulkapsel,hubcap
hjørne,corner
hode,"pate, head"
hodepine,headache
hodepute,pillow
hofte,"haunch, hip"
hofteholder,girdle
hofteledd,hipjoint
hofteskål,hipsocket
hogge,"chop, hew"
hogge ut,carve
holdbar,durable
holdbarhet,durability
holde,hold
holde fast ved,abide
"holde fast ved, avvente, stå",abide
holde opp med,discontinue
holde tilbake,detain
holde ut,endure
holdeplass,stop
holder,holder
"holder, innehaver",holder
holdning,attitude
holdningsgymnastikk,callisthenics
Holland,holland
"Holland, Nederland",holland
homofil,queer
homoseksuell,gay
"homoseksuell, lystig, munter",gay
honning,honey
honningkake,gingerbread
honorar,fee
hop,cluster
hope seg opp,accumulate
hopp,"leap, hop, jump"
hoppe,"leap, hop, jump"
hoppe av,defect
hoppe tau,skipping rope
"hoppe, hopp, sprang",jump
hoppeføll,filly
hopper,jumper
hore,harlot
horisont,horizon
horn,horn
hornaktig,horny
"hornaktig, kåt",horny
hornhinne,cornea
hortensia,hydrangea
hos,in
hospital,hospital
"hospital, sykehus",hospital
hoste,cough
hoste opp,expectorate
hotell,hotel
hov,hoof
hovedbok,ledger
hovedinnhold,gist
hovedkvarter,headquarters
hovedrett,entree
hovedrolle,lead
hovedstad,capital
hovedvei,highway
hoven,arrogant
"hoven, hovmodig",arrogant
hovmester,"butler, headwaiter"
hovmod,arrogance
hovmodig,"haughty, arrogant"
"hovmodig, overlegen",haughty
hud,"hide, skin"
"hud, gjemme, skinn, skjule",hide
hudfarge,complexion
hudløs,galled
hul,hollow
"hul, hulning, fordypning, innfallen",hollow
hule,"burrow, den, lair"
hull,"gap, hole"
hulning,hollow
hulrom,cavity
humle,"bumblebee, hop"
"humle, hoppe, hopp",hop
hummer,lobster
humor,humour
humoristisk,humorous
"humoristisk, morsom",humorous
hund,dog
hundebånd,leash
"hundebånd, koppel",leash
hundre,"one hundred, hundred"
"hundre, hundre",hundred
hungersnød,famine
hunn,female
hurpe,hag
hurtig,"rapid, speedy swift, fast"
hurtighet,fastness
hurtigtog,fast train
hus,"house, houses, home houses"
husdyrbestand,livestock
hushjelp,"servant, maid"
husholderske,housekeeper
husstand,household
hval,whale
hvem,"that, which, who"
hver enkelt,each
"hver enkelt, alle",each
hver time,hourly
hverandre,eachother
hverdagslig,everyday
hvete,wheat
hvile,repose rest
hvilken som helst,either
hvis,if
hvit,"blank, white"
"hvit, hvit",white
hvitevarer,linen goods
hvitglødende,incandescent
hvitløk,garlic
hvor,where
hvordan,"how, however"
"hvordan, imidlertid",however
hvorfor,"what for, why"
hyene,hyena
hyggelig,enjoyable
hygiene,hygiene
hygienisk,hygienic
hykler,hypocrite
hykleri,hypocrisy
hyl,"yell, howl"
"hyl, hyle",yell
hyle,"yell, howl"
hylle,ledge
hyllebær,elderberry
hyllest,homage
hylster,holster
hymne,"anthem, hymn"
hypnose,hypnosos
hypnotisere,hypnotize
hypnotisør,hypnotist
hypotese,hypothesis
hyppig,frequent
"hyppig, frekventere",frequent
hyppighet,"frequency, incidence"
"hyppighet, utbredelse",incidence
hyrdedikt,idyll
"hyrdedikt, idyll",idyll
hyse,haddock
"hyse, kolje",haddock
hysterisk,hysterical
hysterisk anfall,hysterics
hysterisk person,hysteric
hytt,cabin
hytte,"hut, shack, cottage, cabin, lodge"
"hytte, lite hus",cottage
hån,derision
hånd,hand
"hånd, levere, gi, rekke",hand
håndbok,handbook
håndbremse,handbreak
håndheve,enforce
"håndheve, fremtvinge",enforce
håndhevelse,enforcement
"håndhevelse, inndrivelse",enforcement
håndjern,handcuffs
håndkle,towel
håndlag,knack
håndlaget,handmade
håndskrift,handwriting
håndtak,handle
"håndtak, hank, håndtere, behandle",handle
håndtere,handle
håndtverker,artisan
håndverk,handicraft
håne,jeer
håp,hope
"håp, håpe",hope
håpe,hope
håpefullt,hopefully
hår,hair
hårete,hairy
"hårete, lodden",hairy
hårlokk,lock
hårnål,hairpin
hæl,heel
"hæl, hæl, sette hæl på",heel
hær,army
høflig,courteous
høflighet,courteoussy
høker,huckster
høne,"chicken, hen"
"høne, kylling",chicken
hørbar,audible
høre,"hear, listen"
"høre, lytte",listen
høreapparat,hearing aid
høretelefoner,"earphones, headphones"
hørevidde,hearing
høring,hearing
hørsel,hearing
"hørsel, hørevidde, høring",hearing
høst,"autumn, fall, harvest"
høste,harvest
høvding,chief
høy,"hay, high lofty, loud, high, tall"
"høy, oppløftet",lofty
"høy, skrikende",loud
høyde,"altitude, elevation, height"
"høyde, høydepunkt",height
høydepunkt,"height, highlight"
